date,t,cp_location,cp_location_norm,cp_score
2017-02-02,21,8.892633723869102,0.5765412512443285,0.7810007188673077
2017-02-03,22,8.219266086287544,0.6562254244624979,0.7299414487055558
2017-02-06,23,8.868690129075311,0.6729195176630804,0.8082083465932992
2017-02-07,24,16.141805141293936,0.37419975517647924,0.9951154854190141
2017-02-08,25,13.981263195802484,0.5247017525808341,0.8801186585842679
2017-02-09,26,13.816257022173838,0.580178237039341,0.9257483136842217
2017-02-10,27,13.9757633889967,0.6202017433811096,0.9461806632738817
2017-02-13,28,13.95209609331696,0.6689478050801447,0.9740969768196356
2017-02-14,29,13.93306116693778,0.7174732777648677,0.9853835733135781
2017-02-15,30,13.925259364925656,0.7654638397654449,0.9934488285254248
2017-02-16,31,13.947447750520038,0.8120262975942839,0.9940482736996807
2017-02-17,32,13.904941039353462,0.8616694743165019,0.9846904547329416
2017-02-21,33,13.96070459639927,0.9066331144571778,0.9170959061010406
2017-02-22,34,13.868014714088126,0.9586659659958036,0.9319017902871967
2017-02-23,35,24.346633600957716,0.5073031618591564,0.9855637513704388
2017-02-24,36,31.349597907910706,0.22144771867091878,0.9868361641526054
2017-02-27,37,31.071768085763757,0.28229675782077346,0.9826202340227739
2017-02-28,38,31.003751783204578,0.3331546769902582,0.9696858807140657
2017-03-01,39,31.05844408975782,0.3781693290591514,0.9550863395589579
2017-03-02,40,31.046619460072723,0.4263514542822513,0.9090389568530295
2017-03-03,41,30.992681287856357,0.4765389862925544,0.8954853732226936
2017-03-06,42,30.98543811862024,0.5245029467323695,0.8823347592772754
2017-03-07,43,30.989604326000332,0.5719236035237937,0.8131507501651589
2017-03-08,44,40.94324374542954,0.14555982164621234,0.8082542551804592
2017-03-09,45,42.03322260258662,0.14127511416254196,0.9480472472370348
2017-03-10,46,40.85513387357901,0.24499362506766634,0.96323290440669
2017-03-13,47,36.96576436445102,0.4778207445499515,0.8899106133132447
2017-03-14,48,36.69079020223288,0.5385337998936722,0.9280379281217606
2017-03-15,49,36.97321467485907,0.572704063101949,0.9647005173230907
2017-03-16,50,36.984018401041716,0.6198086475694421,0.9784039317112087
2017-03-17,51,36.32894362276712,0.6986217322491848,0.985820278619596
2017-03-20,52,36.33050180718387,0.7461665806102918,0.9908734425095279
2017-03-21,53,33.991388511704535,0.9051719756331174,0.995920007173363
2017-03-22,54,33.000008739712186,0.9999995838232293,0.972239830960075
2017-03-23,55,36.14270306332145,0.8979665207942167,0.8975440753838695
2017-03-24,56,36.96579553446598,0.9063906888349532,0.7841281566873931
2017-03-27,57,43.810443751791176,0.6280741070575631,0.795789525514956
2017-03-28,58,48.56501111472717,0.4492851850129919,0.6615246034381045
2017-03-29,59,47.955953684163234,0.5259069674207983,0.7285389487287651
2017-03-30,60,41.49873868625375,0.8810124435117261,0.806523445336824
2017-03-31,61,41.978616600261,0.9057801618923333,0.7608370509887611
2017-04-03,62,61.18340330598696,0.03888555685776396,0.9830185281517511
2017-04-04,63,61.060892998533305,0.0923384286412712,0.9745497172223291
2017-04-05,64,61.0459836497087,0.14066744525196656,0.9538496873780475
2017-04-06,65,61.08451306244209,0.18645175893132895,0.9421153618906488
2017-04-07,66,61.07203832069679,0.23466484187158138,0.9066787129792205
2017-04-10,67,58.03138569873368,0.4270768714888724,0.7620286080950792
2017-04-11,68,61.03607325607745,0.3316155592344071,0.8567110847659378
2017-04-12,69,61.01751349588538,0.38011840495783894,0.936900946764862
2017-04-13,70,61.02413691493381,0.42742205166981845,0.8839365264802698
2017-04-17,71,61.051370382416174,0.47374426750399173,0.928908702750883
2017-04-18,72,61.021937210461715,0.5227648947399184,0.9035989886716338
2017-04-19,73,72.99998975272855,4.87965307018255e-07,0.8957405713618705
2017-04-20,74,67.32642672670939,0.31778920349002926,0.860989047569844
2017-04-21,75,67.30471117948464,0.3664423247864456,0.8068163670775674
2017-04-24,76,70.00584519529062,0.28543594308139913,0.8761967672003161
2017-04-25,77,70.07104648673436,0.3299501672983638,0.815114155586494
2017-04-26,78,70.26640943618212,0.36826621732466114,0.7672362738455882
2017-04-27,79,70.03730815485235,0.4267948497689355,0.7414383750754376
2017-04-28,80,70.53616845529451,0.45065864498597547,0.7325741686043294
2017-05-01,81,70.5234831848466,0.498881753102543,0.7516441773798006
2017-05-02,82,62.93588788012976,0.9078148628509637,0.7652276316404825
2017-05-03,83,62.95043352200471,0.9547412608569187,0.8907309842112896
2017-05-04,84,74.91652456263678,0.43254644939824854,0.7021927219447657
2017-05-05,85,74.81794825027637,0.4848596071296965,0.7420073987549792
2017-05-08,86,74.76416270881998,0.5350398710085723,0.8043830512429877
2017-05-09,87,74.68683966769434,0.5863409682050312,0.8654156767882792
2017-05-10,88,74.32118087622655,0.6513723392273072,0.8845415488832878
2017-05-11,89,74.57207801799265,0.6870439039051118,0.8964796924099504
2017-05-12,90,74.13008197028837,0.7557103823672203,0.923978180263977
2017-05-15,91,82.1036296176303,0.4236366848747474,0.8612329199978395
2017-05-16,92,81.12956166152925,0.5176399208795595,0.8680805241857578
2017-05-17,93,82.87499023557123,0.4821433221156556,0.8907193576540233
2017-05-18,94,82.86723300642163,0.5301317615989701,0.9067752187622435
2017-05-19,95,82.93449794456248,0.5745477169255961,0.7896412913819069
2017-05-22,96,86.01205574111505,0.4756163932802358,0.683019464720853
2017-05-23,97,96.96963014237089,0.0014461836966243407,0.9428075288692622
2017-05-24,98,94.21054673319078,0.18045015556234373,0.8535341869441266
2017-05-25,99,96.01928711410181,0.14193870885229454,0.9494677810956043
