date,t,cp_location,cp_location_norm,cp_score
2017-02-02,21,10.283000978474869,0.510333286739292,0.882494563194172
2017-02-03,22,13.332104910833662,0.41275690900792084,0.8373593379840134
2017-02-06,23,13.30964440988783,0.4614455042910557,0.8691412966889154
2017-02-07,24,13.411436174008962,0.5042173250471923,0.8173397751830636
2017-02-08,25,16.98731737902149,0.3815563152846909,0.976827521720214
2017-02-09,26,16.976190944621145,0.4297051931132788,0.9885723670260669
2017-02-10,27,16.889299367171578,0.4814619348965915,0.9921287898693846
2017-02-13,28,16.990564056640473,0.5242588544456918,0.9962864450403246
2017-02-14,29,16.992808959351215,0.5717710019356564,0.9987692879437571
2017-02-15,30,20.954754582643083,0.43072597225509124,0.9985997716007445
2017-02-16,31,16.982894365859696,0.6674812206733478,0.9992184667734554
2017-02-17,32,16.796462607123484,0.7239779710893579,0.9997673420668903
2017-02-21,33,16.25273086807907,0.7974890062819491,0.9997108593158331
2017-02-22,34,13.000000000199167,0.9999999999905159,0.9987614618805256
2017-02-23,35,14.000000000539288,0.9999999999743197,0.9979863683341083
2017-02-24,36,15.87931519757027,0.958127847734749,0.9771462066896643
2017-02-27,37,16.000945871409016,0.9999549585043326,0.9939545232197866
2017-02-28,38,30.02436601672648,0.3797920944415963,0.6798474812257826
2017-03-01,39,30.017073733988887,0.4277583936195768,0.7680977522269744
2017-03-02,40,30.037152129917455,0.47442132714678786,0.7279257989689369
2017-03-03,41,30.01593012562642,0.523050946398742,0.6673777259161755
2017-03-06,42,36.01223000233017,0.2851319046509443,0.7273492910862368
2017-03-07,43,36.294466967907994,0.319311096766286,0.7043763696508797
2017-03-08,44,36.005212373058704,0.38070417271149026,0.7487145162113448
2017-03-09,45,36.065767312929424,0.42543965176526555,0.7366418984861709
2017-03-10,46,36.00723653204979,0.47584587942620055,0.7025773060682741
2017-03-13,47,36.005271498887694,0.5235585000529669,0.6966720644202684
2017-03-14,48,36.007446043880925,0.5710739979104321,0.7058189008315794
2017-03-15,49,36.01383633656615,0.6183887458778023,0.6736137176092005
2017-03-16,50,42.955990875778035,0.33542900591533165,0.600825369310714
2017-03-17,51,41.54542461482126,0.45021787548470205,0.6337446810969822
2017-03-20,52,41.33105821968879,0.5080448466814861,0.6114330064443528
2017-03-21,53,33.973887560964755,0.9060053542397736,0.8859429781838607
2017-03-22,54,41.715625257691464,0.584970225824216,0.6764433632714684
2017-03-23,55,42.41966238926894,0.5990636957490979,0.5798676677080359
2017-03-24,56,53.99374730184117,0.0955358427694682,0.9680838646652321
2017-03-27,57,53.982935389714996,0.14366974334690497,0.9245519592492755
2017-03-28,58,53.95792760295031,0.19247963795474698,0.8812474014095747
2017-03-29,59,53.93448113929503,0.2412151838430938,0.9368241187327372
2017-03-30,60,53.954498193750844,0.287881038392817,0.9728907195640173
2017-03-31,61,53.99207184354982,0.3337108645928656,0.7973774830234364
2017-04-03,62,50.84839331027178,0.531028889987058,0.761728975965196
2017-04-04,63,50.78815948059501,0.5815162152097613,0.8504282772673707
2017-04-05,64,53.861259810822915,0.4827971518655755,0.9413203861853038
2017-04-06,65,53.96659923427791,0.5254000364629567,0.9541812513921237
2017-04-07,66,53.98664122539699,0.5720647035525245,0.9439915340845517
2017-04-10,67,53.97676590598618,0.6201540044768488,0.9488131818869775
2017-04-11,68,54.35386585263113,0.64981591177947,0.7930610732932516
2017-04-12,69,58.99424294106626,0.4764646218539876,0.7004039126449295
2017-04-13,70,53.96205941918115,0.7637114562294689,0.8611454283466845
2017-04-17,71,53.675370722136435,0.8249823465649316,0.7284449133857613
2017-04-18,72,60.5063830592356,0.5473150924173522,0.6258213421415448
2017-04-19,73,65.14860254945867,0.37387606907339654,0.6569917791294617
2017-04-20,74,73.99911149111739,4.230994679097594e-05,0.9957694871694583
2017-04-21,75,74.9705733268195,0.001401270151452157,0.9972583610777128
2017-04-24,76,70.1537150431783,0.27839452175341456,0.9923611541894085
2017-04-25,77,75.04434354429793,0.09312649789057473,0.9980532219055126
2017-04-26,78,73.80562406117039,0.1997321875633147,0.9989696170758875
2017-04-27,79,71.76971051197084,0.34429949942995985,0.9970008309212013
2017-04-28,80,68.62133567427037,0.5418411583680777,0.9981132950342176
2017-05-01,81,67.82608010040217,0.6273295190284683,0.9937733214624875
2017-05-02,82,66.84292144753273,0.7217656453555842,0.9899899697272324
2017-05-03,83,66.73004892515202,0.774759574992761,0.9992965574740673
2017-05-04,84,66.7758654513953,0.8201968832668902,0.9883856510693407
2017-05-05,85,70.35956754801953,0.6971634500943082,0.9218382380592441
2017-05-08,86,73.33068723034197,0.603300608078954,0.8336408994416064
2017-05-09,87,70.34362797243429,0.7931605727412242,0.8348028196626271
2017-05-10,88,79.0134054314506,0.4279330746928289,0.924886541549912
2017-05-11,89,78.96329266991572,0.47793844428972776,0.9212361306351959
2017-05-12,90,78.91753224532467,0.5277365597464445,0.9139448198581887
2017-05-15,91,78.96167007628944,0.5732538058909792,0.944145099677645
2017-05-16,92,78.94328728554449,0.6217482244978816,0.9718698933476434
2017-05-17,93,78.92166739560552,0.6703967906854512,0.9021064377034402
2017-05-18,94,78.96733301263697,0.7158412851125252,0.9331011916556629
2017-05-19,95,78.8304299454062,0.7699795264092288,0.9504780701075302
2017-05-22,96,75.00003818374373,0.9999981817264892,0.7967659795346838
2017-05-23,97,78.38670310715702,0.886347471087761,0.9366793865687475
2017-05-24,98,78.01984628931925,0.9514358909847977,0.9730580878169194
2017-05-25,99,92.0108239219733,0.332817908477462,0.655672416910942
