date,t,cp_location,cp_location_norm,cp_score
2017-02-02,21,8.280906173616096,0.6056711345897098,0.7630985817642391
2017-02-03,22,3.9703239960730516,0.8585560001869975,0.8378002795409891
2017-02-06,23,3.5620483450186597,0.9256167454753019,0.8699677206055754
2017-02-07,24,11.108418786677985,0.6138848196820007,0.786812026953944
2017-02-08,25,12.02799520769645,0.6177145139192167,0.8818594151288374
2017-02-09,26,12.013330478407202,0.6660318819806095,0.8465155668383133
2017-02-10,27,18.3285586106857,0.41292578044353806,0.5669013784711221
2017-02-13,28,18.353353438911768,0.4593641219565825,0.5702627904809741
2017-02-14,29,18.350128110018858,0.5071367566657686,0.5357118920945408
2017-02-15,30,28.798293577588254,0.057224115352940294,0.7722370184713515
2017-02-16,31,26.63240135582498,0.207980887817858,0.7946001905130549
2017-02-17,32,21.582074637803196,0.49609168391413355,0.5984068996802052
2017-02-21,33,21.278418900338504,0.5581705285553094,0.6366415000904178
2017-02-22,34,23.976418440278728,0.47731340760577484,0.5742824986612833
2017-02-23,35,23.975035740933244,0.5249982980507979,0.6270139924282571
2017-02-24,36,23.96720238261072,0.5729903627328229,0.6975111053673388
2017-02-27,37,36.99999999827037,8.236340709984125e-11,0.9273602670948468
2017-02-28,38,33.02764690356692,0.2367787188777658,0.8622449924639517
2017-03-01,39,33.033559418015706,0.28411621818972826,0.7937464388902513
2017-03-02,40,33.021048233857954,0.3323310364829546,0.7232978191644379
2017-03-03,41,33.05126133157934,0.3785113651628886,0.784525117201051
2017-03-06,42,33.03354010947677,0.4269742805011063,0.7414368191784505
2017-03-07,43,33.08207954657082,0.4722819263537706,0.7180410099509704
2017-03-08,44,33.0564165741345,0.5211230202793095,0.6376151056692473
2017-03-09,45,30.35492320521493,0.6973846092754795,0.7688866777237263
2017-03-10,46,30.140893777109845,0.7551955344233408,0.7901703821861816
2017-03-13,47,30.04072603016685,0.8075844747539594,0.8316086949957626
2017-03-14,48,42.8746882808668,0.24406246281586672,0.8681981840773723
2017-03-15,49,48.918571453707855,0.0038775498234354614,0.9196616224887246
2017-03-16,50,48.36053741802161,0.07806964676087584,0.9214681977101473
2017-03-17,51,48.021368520583955,0.14183959425790688,0.8482295728040062
2017-03-20,52,48.0547165851125,0.1878706388041666,0.7952889127536877
2017-03-21,53,48.01912240497555,0.23718464738211678,0.7614289114671662
2017-03-22,54,47.21784392130477,0.32295981327120143,0.676615349191563
2017-03-23,55,44.15703532650575,0.5163316511187739,0.7194260122977666
2017-03-24,56,44.23217476155245,0.5603726304022643,0.7072830850019902
2017-03-27,57,37.98924442769987,0.9052740748714346,0.8134212836948835
2017-03-28,58,37.12389988157727,0.9941000056391774,0.8652216836634617
2017-03-29,59,47.97060837187128,0.5252091251489868,0.7749717745886048
2017-03-30,60,53.00904402179734,0.33290266562869825,0.8300624928868566
2017-03-31,61,53.36878897543586,0.36339100116972084,0.9150115943777009
2017-04-03,62,53.54429456986699,0.40265263953014324,0.8017912866739425
2017-04-04,63,53.367098836562,0.4587095792113333,0.8479930516236588
2017-04-05,64,53.17395092823959,0.5155261462743052,0.8493379737881136
2017-04-06,65,52.963830933321226,0.5731509079370845,0.9056273873086601
2017-04-07,66,52.68005177520897,0.6342832487995727,0.9483965612342528
2017-04-10,67,51.69825465646185,0.7286545401684834,0.9700203029876671
2017-04-11,68,50.903125907631434,0.8141368615413602,0.990337209099996
2017-04-12,69,48.00002582265439,0.9999987703497908,0.9930514848940656
2017-04-13,70,50.153097455359315,0.9450905973638422,0.9964861589405265
2017-04-17,71,58.97567114379238,0.5725870883908389,0.8852375891785544
2017-04-18,72,58.66275786953962,0.635106768117161,0.6273232198414408
2017-04-19,73,65.21221562764696,0.3708468748739545,0.7927621547506536
2017-04-20,74,62.97275157430914,0.5251070678900408,0.6353380467474588
2017-04-21,75,65.25730250614376,0.46393797589791624,0.7400766247068311
2017-04-24,76,62.96669833568875,0.6206334125862502,0.6471120428075805
2017-04-25,77,65.2953854894026,0.5573625957427331,0.7755206965107684
2017-04-26,78,64.82981364326275,0.6271517312732022,0.7567649507604186
2017-04-27,79,64.24680081668942,0.7025332944433612,0.7521566481168226
2017-04-28,80,67.94001314798228,0.5742850881913197,0.7811018683904298
2017-05-01,81,80.99701936626283,0.00014193493986508222,0.8886658394806325
2017-05-02,82,78.77039494575678,0.1537907168687249,0.7939039593524575
2017-05-03,83,76.18988371698492,0.3242912515721465,0.6931598871769311
2017-05-04,84,70.36233338597047,0.6494126959061679,0.841627480736318
2017-05-05,85,67.07730086878604,0.8534618633911409,0.8948828240396918
2017-05-08,86,72.02984838792472,0.6652453148607278,0.7993643610927981
2017-05-09,87,72.32280338590223,0.698914124480846,0.711228432499492
2017-05-10,88,72.33137610435789,0.7461249474115292,0.6416738614005115
2017-05-11,89,72.00331112779357,0.809366136771735,0.6417933776150724
2017-05-12,90,72.30464595693748,0.8426359068125011,0.7229352742847233
2017-05-15,91,70.0,1.0,0.5545690222960247
2017-05-16,92,85.62352845465327,0.3036415021593682,0.8788601218911742
2017-05-17,93,85.46080574425913,0.3590092502733746,0.8712076580549359
2017-05-18,94,81.9519651884911,0.5737159434051856,0.730254159542944
2017-05-19,95,81.97968540146016,0.6200149808828496,0.7544332111171665
2017-05-22,96,81.97522559742127,0.6678464001227966,0.8281113816144827
2017-05-23,97,81.96877849088006,0.7157724528152355,0.7792332377644348
2017-05-24,98,81.97865408575308,0.7629212340117582,0.8167868360240969
2017-05-25,99,81.98425405142899,0.8102736165986195,0.793626821780651
