date,t,cp_location,cp_location_norm,cp_score
2017-02-02,21,9.675758324637979,0.5392496035886677,0.6708891126422596
2017-02-03,22,21.999566385731015,2.0648298523101837e-05,0.8627585154607449
2017-02-06,23,21.010942240609474,0.09471703616145363,0.7667951773243191
2017-02-07,24,9.973330210185171,0.667936656657849,0.639260483287204
2017-02-08,25,9.731589630905397,0.7270671604330763,0.6412813884307976
2017-02-09,26,9.991155079383326,0.7623259486007941,0.736601864789723
2017-02-10,27,9.965576163323165,0.8111630398417541,0.8088520260146828
2017-02-13,28,9.719816009664852,0.8704849519207213,0.8509819559613898
2017-02-14,29,9.645083038033068,0.9216627124746158,0.9104830164366642
2017-02-15,30,9.000000046455995,0.9999999977878098,0.9644109227583995
2017-02-16,31,13.967026712513073,0.811093966070806,0.755947298932918
2017-02-17,32,19.926969684442838,0.574906205502722,0.9111715738915273
2017-02-21,33,29.9979579013343,0.14295438565074767,0.7202434286088719
2017-02-22,34,30.013819590970883,0.18981811471567225,0.8273063499969373
2017-02-23,35,32.72497115071638,0.1083347071087439,0.9403309328801005
2017-02-24,36,30.02500195952698,0.28452371621300104,0.8238075637687976
2017-02-27,37,30.06064876140964,0.33044529707573134,0.9095810585751962
2017-02-28,38,22.681624495256607,0.7294464526068283,0.9015960799232595
2017-03-01,39,22.969608455707558,0.7633519782996401,0.7368429046458294
2017-03-02,40,38.030721557142385,0.0937751639456007,0.9076116222769247
2017-03-03,41,35.352732308234536,0.26891750913168877,0.8191295064954722
2017-03-06,42,38.020610543248054,0.18949473603580694,0.8606274323626164
2017-03-07,43,38.015807205380874,0.2373425140294822,0.8188401534946017
2017-03-08,44,38.021252435535835,0.28470226497448403,0.9365199573588928
2017-03-09,45,38.024043971190665,0.3321883823242541,0.9019798259805953
2017-03-10,46,38.26730966779457,0.3682233491526395,0.8367411798955449
2017-03-13,47,38.15994819853184,0.42095484768895985,0.8350586917216456
2017-03-14,48,38.04911415011367,0.47385170713744446,0.828585914727505
2017-03-15,49,38.01417521753825,0.5231345134505594,0.7951773644814326
2017-03-16,50,43.327474390151416,0.31773931475469447,0.9982548588638022
2017-03-17,51,42.94447551925072,0.38359640384520366,0.9748167927284868
2017-03-20,52,42.720303368487926,0.44189031578628923,0.9810675075276103
2017-03-21,53,40.943839883204326,0.5741028627045559,0.6708354020864089
2017-03-22,54,40.94429297660087,0.6217003344475776,0.7391352517557043
2017-03-23,55,40.750715801121956,0.6785373428037164,0.8109469387009332
2017-03-24,56,40.71676207013248,0.7277732347555961,0.886446127301675
2017-03-27,57,40.6287434348376,0.7795836459601142,0.9407873816366645
2017-03-28,58,40.05333226701135,0.8546032253804119,0.9088428718928676
2017-03-29,59,40.005972605529486,0.9044774949747864,0.9618377959032771
2017-03-30,60,39.0,1.0,0.9823382682134221
2017-03-31,61,52.28039207054077,0.4152194252123443,0.9140364143865375
2017-04-03,62,50.63094679443178,0.5413834859794391,0.9587920512723734
2017-04-04,63,50.82205796189687,0.5799020018144349,0.9776258924757139
2017-04-05,64,57.312130541740075,0.31846997420285356,0.5772659756702683
2017-04-06,65,57.01306016225226,0.3803304684641781,0.5994485515621775
2017-04-07,66,53.0097609779029,0.6185828105760524,0.7586494335678651
2017-04-10,67,53.69806496487209,0.6334254778632339,0.638470518017675
2017-04-11,68,53.676323753869966,0.6820798212442873,0.7233616905254154
2017-04-12,69,65.04579866474756,0.18829530167868738,0.9993868888486283
2017-04-13,70,65.2474439072693,0.22631219489193807,0.92422530152746
2017-04-17,71,61.98835714383689,0.42912585029348127,0.6571513639730149
2017-04-18,72,61.78903581933993,0.48623638955524145,0.7035094560113133
2017-04-19,73,52.0002472065668,0.9999882282587239,0.7736440426942116
2017-04-20,74,53.00000472887117,0.9999997748156586,0.9378433041418782
2017-04-21,75,69.90376655927074,0.24267778289186973,0.835339711128032
2017-04-24,76,75.99999700849247,1.4245273946688116e-07,0.9877690373155432
2017-04-25,77,73.07371581813379,0.1869659134222004,0.9649242203587134
2017-04-26,78,69.88475528158278,0.3864402246865341,0.9263237208445527
2017-04-27,79,69.92180208368238,0.4322951388722676,0.8957324897487284
2017-04-28,80,69.93587828271609,0.47924389129923384,0.9621142193085233
2017-05-01,81,69.91694288749154,0.5277646244051646,0.9208730149418128
2017-05-02,82,69.93814785636988,0.5743739116014343,0.9382026714286724
2017-05-03,83,69.86178153067429,0.6256294509202718,0.9579140089363746
2017-05-04,84,69.72941617548243,0.679551610691313,0.9106486002704711
2017-05-05,85,69.7927505193133,0.7241547371755571,0.8548054639561071
2017-05-08,86,69.0908439374112,0.8051979077423241,0.9706245766145478
2017-05-09,87,81.09505810655402,0.2811877092117133,0.9947363718759146
2017-05-10,88,79.54122874610451,0.40279863113788056,0.9907748850686374
2017-05-11,89,79.43562495754756,0.45544643059297335,0.9958765120874977
2017-05-12,90,79.28954045229348,0.51002188322412,0.9984328861673907
2017-05-15,91,79.23548712720338,0.5602148987046007,0.9991847122977416
2017-05-16,92,79.71829445015153,0.5848431214213556,0.999462339011565
2017-05-17,93,76.93231828534351,0.765127700697928,0.8269047478251934
2017-05-18,94,76.93050538315273,0.8128330769927269,0.8858177012486401
2017-05-19,95,84.1575376147819,0.5163077326294333,0.8833330279251753
2017-05-22,96,76.95324521017976,0.9069883233247734,0.9493781980196783
2017-05-23,97,76.88729084382055,0.9577480550561642,0.9717082606216283
2017-05-24,98,92.0261155010378,0.28447069042677176,0.9990224430359987
2017-05-25,99,92.08262981740233,0.3293985801236983,0.998956121720799
